slug,requete,auteur,page_pexels,duree_s
passes-courtes-triangle,"soccer passing drill","Tima Miroshnichenko",https://www.pexels.com/video/soccer-players-training-6084019/,10
passes-mur-controle,"soccer wall pass practice","Anastasia  Shuraeva",https://www.pexels.com/video/a-woman-practicing-kicking-a-football-9517721/,11
plongeon-lateral-amorti,"goalkeeper diving save","Anastasia  Shuraeva",https://www.pexels.com/video/a-coach-defending-the-goal-9502550/,6
pompes-genoux-pieds,"push up exercise floor fitness","Kampus Production",https://www.pexels.com/video/a-man-doing-push-ups-8188105/,7
prise-balle-haute,"goalkeeper catching high ball cross","Anastasia  Shuraeva",https://www.pexels.com/video/a-coach-defending-the-goal-9502550/,6
proprioception-cheville-serviette,"balance exercise standing on foam pad","Mikhail Nilov",https://www.pexels.com/video/a-person-stepping-on-the-sadhu-board-6945031/,13
protection-ballon-dos-adversaire,"soccer shielding the ball","Jaxon Matthew Willis",https://www.pexels.com/video/kids-playing-soccer-18616309/,7
reduction-angle-1v1,"goalkeeper positioning narrowing angle drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
reflexes-frappes-rapprochees,"goalkeeper close range save drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
reflexes-mains-rapprochees,"goalkeeper reaction save close range drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
relance-pied-courte-longue,"goalkeeper goal kick","Anastasia  Shuraeva",https://www.pexels.com/video/a-coach-defending-the-goal-9502550/,6
remise-une-touche,"soccer one touch pass","COPA ORANGE",https://www.pexels.com/video/indoor-soccer-match-with-players-in-action-36509537/,10
renforcement-mollets-pointes,"calf raise exercise","Pavel Danilyuk",https://www.pexels.com/video/woman-strengthening-the-legs-6326806/,18
repli-defensif-sprint,"soccer defensive recovery run","This And No Internet 25",https://www.pexels.com/video/youth-soccer-game-on-outdoor-field-37179927/,12
repositionnement-lateral-pas-chasses,"goalkeeper lateral movement drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
respiration-retour-au-calme,"breathing exercise cool down","Ivan S",https://www.pexels.com/video/people-doing-exercise-6438227/,16
routine-penalty,"soccer penalty kick practice","Tima Miroshnichenko",https://www.pexels.com/video/soccer-players-kicking-ball-into-the-soccer-goal-6077715/,17
sauts-a-la-corde,"jump rope exercise","Pavel Danilyuk",https://www.pexels.com/video/man-jumping-rope-6326809/,14
shuttle-run-match-simule,"shuttle run soccer simulation","Tima Miroshnichenko",https://www.pexels.com/video/football-team-training-in-airdome-6084028/,9
skipping-genoux-hauts,"high knees exercise","olia danilevich",https://www.pexels.com/video/woman-doing-high-knees-exercise-5025964/,15
slalom-plots-serre,"soccer cone dribbling","Tima Miroshnichenko",https://www.pexels.com/video/football-team-training-in-airdome-6084028/,9
sorties-aeriennes,"goalkeeper claiming cross","Anastasia  Shuraeva",https://www.pexels.com/video/a-coach-defending-the-goal-9502550/,6
souleve-terre-jambe-tendue,"kettlebell single leg deadlift exercise","Jill Burrow",https://www.pexels.com/video/closeup-video-of-a-woman-working-out-8893509/,19
sprint-changement-direction-5-10-5,"agility drill change of direction","Tima Miroshnichenko",https://www.pexels.com/video/football-team-training-in-airdome-6084028/,9
sprints-courts-10m,"sprint start training","Shulabh Singh  Chauhan",https://www.pexels.com/video/athlete-sprinting-on-outdoor-track-field-36662878/,13
squat-jumps,"jump squat exercise fitness","Michelangelo Buonarroti",https://www.pexels.com/video/jumping-sport-strong-fitness-4260553/,13
squats-bulgares,"bulgarian split squat exercise gym","Jill Burrow",https://www.pexels.com/video/a-woman-squatting-with-resistance-band-8893507/,24
squats-poids-du-corps,"man doing squats repetitions gym","Abhishek  Shekhawat",https://www.pexels.com/video/intense-squat-workout-in-modern-gym-37997554/,33
tacle-glisse-controle,"football sliding tackle ball","Anastasia  Shuraeva",https://www.pexels.com/video/woman-kicking-a-soccer-ball-9440064/,12
talons-fesses,"butt kicks exercise","NBSKILLS10",https://www.pexels.com/video/young-athlete-practicing-soccer-outdoors-38236189/,6
tete-plongeante-cage,"football header jump goal","Anastasia  Shuraeva",https://www.pexels.com/video/a-woman-yelling-for-happiness-9517666/,10
tirage-elastique-dos,"resistance band row back exercise","https://kaboompics.com/",https://www.pexels.com/video/a-man-exercising-in-the-room-5726681/,13
